Real_Input,Imag_Input,Real_FFT_Output,Imag_FFT_Output
0.31623,-0.94868,0.37416,-0.85294
-0.94868,-0.31623,-0.98229,-0.36412
0.31623,-0.31623,0.43862,-0.21728
0.94868,0.94868,0.95083,0.94119
-0.94868,0.31623,-0.85003,0.30301
-0.94868,0.94868,-0.90278,0.98595
0.94868,-0.31623,0.92768,-0.35459
0.31623,0.94868,0.35429,0.87082
0.94868,0.31623,0.9889,0.49175
0.31623,-0.94868,0.27975,-0.91382
-0.94868,-0.94868,-0.77266,-1.015
-0.31623,-0.31623,-0.37411,-0.22929
0.94868,0.31623,0.87669,0.3973
-0.94868,0.94868,-0.87323,0.99464
0.94868,0.31623,0.97952,0.29687
-0.31623,-0.31623,-0.28734,-0.40145
-0.94868,-0.94868,-0.84942,-0.99888
-0.94868,0.94868,-0.84673,1.0751
-0.31623,0.94868,-0.43368,0.95029
-0.94868,0.31623,-0.95493,0.24368
-0.31623,0.31623,-0.30212,0.37532
-0.94868,0.94868,-0.97843,0.80414
-0.31623,-0.31623,-0.33246,-0.37578
0.31623,0.31623,0.27293,0.32357
-0.94868,0.94868,-0.93867,0.93083
-0.94868,-0.94868,-0.89734,-1.0305
0.31623,0.31623,0.33693,0.17077
-0.94868,-0.31623,-1.0136,-0.47477
-0.94868,-0.94868,-0.79249,-0.97648
0.31623,0.94868,0.21565,0.89228
-0.94868,-0.31623,-0.89088,-0.36968
0.31623,0.94868,0.3642,0.90037
0.31623,0.94868,0.38869,1.0104
0.94868,0.94868,0.91862,1.0721
0.31623,0.94868,0.31122,0.97075
-0.94868,0.31623,-0.91458,0.24742
-0.31623,-0.94868,-0.33373,-1.006
-0.31623,-0.31623,-0.31824,-0.35758
-0.31623,0.31623,-0.23311,0.24223
-0.31623,-0.31623,-0.19893,-0.319
0.31623,-0.31623,0.27881,-0.48944
0.94868,-0.31623,0.9365,-0.40398
0.31623,-0.31623,0.31561,-0.31758
0.31623,-0.94868,0.31566,-1.0634
0.94868,0.94868,0.79939,0.96782
-0.31623,0.31623,-0.27775,0.27591
-0.31623,0.94868,-0.33999,0.90991
0.31623,-0.94868,0.36038,-0.93889
0.31623,0.94868,0.3118,0.9073
0.31623,-0.31623,0.30927,-0.38969
-0.31623,0.31623,-0.27274,0.31509
0.31623,-0.31623,0.34755,-0.26985
-0.31623,-0.94868,-0.37786,-0.9283
-0.94868,-0.94868,-0.96026,-0.9508
0.31623,0.31623,0.20148,0.20428
0.94868,-0.94868,0.96696,-0.93954
0.31623,-0.31623,0.32341,-0.2518
0.31623,-0.31623,0.41844,-0.21909
-0.31623,0.31623,-0.19517,0.2485
0.31623,0.31623,0.28621,0.30553
0.94868,-0.94868,0.88795,-0.87538
0.94868,-0.94868,0.95437,-0.93032
0.31623,0.94868,0.38036,0.94769
-0.94868,0.94868,-0.96483,0.91784
0.31623,0.94868,0.32039,1.1072
-0.94868,0.31623,-0.81062,0.25514
-0.94868,-0.94868,-0.84005,-0.90185
0.31623,0.31623,0.3126,0.3702
-0.94868,0.31623,-0.9384,0.28937
-0.94868,-0.94868,-0.87628,-1.1164
-0.31623,0.31623,-0.25818,0.37646
-0.94868,-0.31623,-0.9251,-0.425
0.31623,-0.94868,0.24099,-1.0146
0.31623,-0.94868,0.32069,-0.87539
0.94868,-0.31623,1.0295,-0.27609
-0.94868,0.94868,-0.95207,0.91598
0.31623,0.31623,0.27258,0.37773
-0.31623,-0.94868,-0.31045,-0.98216
-0.94868,0.31623,-0.89267,0.33845
0.31623,0.31623,0.19185,0.28838
-0.31623,-0.94868,-0.37092,-1.0928
-0.94868,-0.94868,-0.8628,-0.87671
0.94868,0.31623,0.92801,0.28875
0.31623,-0.94868,0.2055,-1.0131
-0.94868,-0.94868,-0.80797,-0.92031
0.31623,0.94868,0.42095,0.93888
0.94868,0.31623,0.92285,0.28333
-0.94868,-0.31623,-0.86706,-0.19032
0.31623,-0.31623,0.28963,-0.34649
-0.94868,-0.31623,-0.91962,-0.19598
-0.94868,-0.94868,-0.98075,-0.98501
-0.31623,0.31623,-0.27185,0.3304
-0.31623,0.94868,-0.33524,0.94792
-0.94868,-0.94868,-0.92587,-1.0413
-0.94868,-0.31623,-1.0361,-0.22475
-0.31623,0.94868,-0.32741,1.0658
0.94868,0.31623,0.92909,0.36546
-0.31623,0.94868,-0.23247,0.94083
-0.31623,-0.31623,-0.39866,-0.16803
-0.94868,-0.94868,-0.89773,-0.92475
-0.31623,0.94868,-0.35592,0.95241
0.31623,0.94868,0.31042,0.96337
0.94868,0.31623,0.88235,0.35318
-0.31623,-0.31623,-0.31907,-0.46388
-0.31623,-0.94868,-0.35267,-0.89349
0.31623,-0.31623,0.42341,-0.29243
0.94868,0.94868,1.0265,0.94343
-0.94868,-0.94868,-0.91305,-0.85226
-0.31623,0.94868,-0.31054,1.0481
0.31623,0.31623,0.21175,0.37358
0.94868,-0.31623,0.97634,-0.22318
0.94868,0.31623,0.98059,0.48005
0.31623,-0.31623,0.32127,-0.20371
-0.31623,-0.31623,-0.36617,-0.28847
-0.31623,0.31623,-0.28138,0.46227
-0.31623,0.94868,-0.32017,0.91602
-0.31623,0.94868,-0.36803,0.83181
-0.94868,0.31623,-0.94488,0.31085
-0.31623,-0.94868,-0.33952,-0.97792
0.94868,-0.94868,1.0131,-0.80958
-0.31623,0.31623,-0.24285,0.17844
-0.31623,0.94868,-0.28946,0.97698
0.94868,-0.94868,0.96401,-0.87241
-0.31623,0.94868,-0.35,0.92404
0.31623,-0.31623,0.34145,-0.24263
0.94868,-0.31623,1.0213,-0.30455
0.31623,-0.31623,0.21677,-0.24812
0.94868,0.94868,0.95194,0.85699
-0.31623,-0.31623,-0.21194,-0.31277
-0.31623,0.94868,-0.32416,1.0053
0.31623,-0.94868,0.30633,-0.98696
-0.31623,0.31623,-0.21482,0.33625
0.94868,-0.94868,0.95133,-0.88087
-0.94868,-0.31623,-0.91602,-0.18965
0.31623,-0.94868,0.32446,-0.85073
-0.31623,-0.94868,-0.29535,-0.90035
0.94868,0.94868,0.95162,0.95096
0.94868,-0.94868,0.74078,-0.93479
0.31623,-0.31623,0.35927,-0.383
-0.31623,-0.94868,-0.40288,-1.0792
-0.94868,0.94868,-0.94261,0.91574
0.94868,-0.94868,0.99397,-0.92707
-0.31623,0.31623,-0.46577,0.25644
-0.94868,0.94868,-0.96552,0.90147
0.94868,-0.31623,0.90594,-0.21923
-0.31623,0.94868,-0.34317,1.1079
-0.94868,-0.31623,-0.92706,-0.30412
0.94868,0.31623,0.96092,0.22668
-0.31623,0.31623,-0.20319,0.31937
-0.94868,-0.31623,-1.0381,-0.31105
-0.94868,-0.94868,-1.0374,-0.89347
-0.31623,-0.94868,-0.28323,-0.9006
-0.31623,0.94868,-0.28258,0.89441
-0.94868,0.31623,-0.80148,0.2788
-0.94868,-0.94868,-0.96096,-1.0087
0.94868,-0.31623,0.88139,-0.31819
0.31623,0.31623,0.48507,0.34154
-0.94868,0.94868,-1.0526,1.0319
-0.94868,0.94868,-0.95545,1.0302
-0.94868,-0.31623,-1.0119,-0.38203
0.31623,-0.31623,0.35399,-0.34177
-0.94868,-0.94868,-1.0702,-1.0235
-0.94868,0.94868,-1.0286,0.88269
-0.94868,-0.94868,-0.8504,-0.87922
-0.31623,-0.31623,-0.39796,-0.14104
0.31623,0.94868,0.32265,0.99108
-0.94868,-0.31623,-0.91871,-0.282
-0.94868,-0.31623,-0.8362,-0.23109
-0.31623,0.94868,-0.33991,0.83628
-0.31623,-0.94868,-0.25668,-0.9251
-0.31623,-0.94868,-0.3668,-0.92007
0.31623,0.31623,0.29805,0.36677
-0.94868,0.31623,-0.92514,0.3192
-0.94868,0.94868,-0.96997,0.87108
-0.94868,-0.31623,-0.80566,-0.313
-0.94868,-0.31623,-0.92489,-0.3844
0.31623,0.94868,0.23093,1.0067
0.94868,0.31623,0.85812,0.34349
-0.31623,0.31623,-0.36241,0.23762
-0.94868,0.31623,-0.88736,0.19358
-0.94868,-0.94868,-0.90615,-0.97861
-0.94868,0.31623,-0.89131,0.31031
-0.31623,-0.31623,-0.32549,-0.23158
0.94868,-0.94868,1.0542,-0.99278
-0.31623,0.31623,-0.33656,0.34355
0.94868,0.94868,0.91489,0.93314
0.31623,-0.31623,0.34332,-0.40701
-0.31623,-0.31623,-0.31183,-0.41947
0.94868,0.31623,0.95393,0.32807
-0.94868,0.31623,-0.97725,0.28542
0.94868,0.31623,0.93844,0.28494
-0.94868,-0.31623,-0.89543,-0.38121
-0.31623,0.94868,-0.36856,0.90535
0.31623,0.94868,0.24325,0.94858
-0.31623,0.94868,-0.19203,0.92793
-0.94868,0.31623,-0.99677,0.2231
0.94868,0.31623,0.89996,0.47781
0.31623,-0.31623,0.3481,-0.30704
-0.94868,-0.94868,-0.97012,-0.93581
-0.94868,-0.94868,-0.84258,-0.93096
-0.31623,-0.94868,-0.30453,-0.80098
-0.31623,0.94868,-0.3201,0.79571
-0.31623,0.94868,-0.3142,0.90706
-0.94868,-0.94868,-0.99485,-0.93502
0.31623,-0.31623,0.29476,-0.32147
-0.94868,-0.31623,-0.96279,-0.32861
-0.31623,-0.31623,-0.32409,-0.37157
-0.31623,0.31623,-0.30343,0.32329
-0.31623,0.94868,-0.36415,1.0028
-0.94868,-0.31623,-0.92676,-0.32018
0.31623,-0.31623,0.29288,-0.32585
0.31623,-0.31623,0.37208,-0.25278
-0.94868,-0.94868,-0.97782,-0.9764
-0.31623,0.31623,-0.51253,0.20985
-0.94868,-0.31623,-0.8345,-0.21604
0.94868,0.94868,0.97994,0.92682
-0.94868,0.94868,-0.93028,0.88932
0.94868,0.31623,0.97243,0.29376
0.94868,-0.31623,0.98525,-0.44901
0.94868,-0.31623,0.90133,-0.29127
-0.94868,0.31623,-0.8862,0.2816
-0.31623,-0.31623,-0.39785,-0.22627
0.94868,0.31623,0.99081,0.27444
-0.31623,0.94868,-0.38052,0.92651
-0.31623,-0.94868,-0.36249,-0.91582
0.31623,0.94868,0.27444,0.89979
-0.31623,-0.31623,-0.2715,-0.36951
0.31623,-0.31623,0.34499,-0.25262
-0.94868,-0.94868,-0.99184,-0.91318
0.94868,-0.94868,0.93681,-1.0349
-0.31623,0.94868,-0.40856,0.96119
0.31623,-0.31623,0.16284,-0.25669
0.94868,0.31623,0.87216,0.32792
-0.31623,0.31623,-0.33377,0.35842
-0.94868,0.31623,-0.99217,0.30868
0.94868,0.94868,0.94354,0.91593
-0.31623,0.94868,-0.15524,0.97399
0.31623,0.94868,0.38301,0.92531
0.94868,-0.31623,0.80991,-0.37484
0.31623,-0.31623,0.27197,-0.31249
-0.31623,-0.31623,-0.30855,-0.34009
-0.31623,-0.94868,-0.37955,-0.9891
0.94868,0.31623,0.89976,0.44711
0.94868,-0.94868,0.83656,-0.88173
-0.94868,0.94868,-0.89845,0.87421
0.94868,-0.31623,1.0272,-0.38718
0.31623,0.94868,0.49095,0.91328
0.94868,0.94868,1.0289,0.8823
0.31623,-0.31623,0.11324,-0.24343
0.94868,0.94868,0.89615,1.0317
0.94868,-0.94868,0.99777,-0.99997
-0.31623,-0.94868,-0.37673,-1.0032
0.31623,0.94868,0.29325,0.82473
-0.31623,-0.31623,-0.22806,-0.32636
0.31623,-0.94868,0.28508,-0.95088
0.31623,-0.31623,0.45053,-0.27133
-0.94868,-0.31623,-0.95378,-0.26068
-0.94868,-0.94868,-1.0028,-0.90877
0.31623,0.31623,0.34486,0.34937
-0.31623,-0.31623,-0.24636,-0.33688
-0.94868,0.94868,-0.99233,0.97749
0.94868,-0.94868,1.018,-0.8752
0.94868,-0.31623,1.0031,-0.33401
-0.94868,0.94868,-0.99061,0.91793
0.31623,-0.94868,0.22741,-0.99506
0.31623,0.31623,0.27569,0.24629
-0.31623,-0.31623,-0.29213,-0.24496
0.31623,0.31623,0.28175,0.35309
0.31623,-0.31623,0.31054,-0.33429
0.31623,-0.94868,0.30086,-1.0242
0.31623,-0.31623,0.36707,-0.34105
-0.31623,0.31623,-0.39765,0.26171
0.31623,0.94868,0.12448,0.94526
-0.94868,0.31623,-0.95271,0.33977
-0.94868,-0.94868,-1.0968,-0.92595
0.31623,-0.94868,0.42199,-0.91988
0.94868,0.94868,1.0106,0.93788
-0.94868,-0.31623,-1.026,-0.17923
0.94868,-0.94868,0.83203,-1.0934
0.94868,0.31623,1.0674,0.25992
-0.94868,0.31623,-0.98626,0.30842
-0.94868,-0.31623,-1.0237,-0.22462
-0.94868,0.94868,-1.0031,0.99075
-0.94868,-0.94868,-1.0116,-0.90785
-0.94868,-0.94868,-0.90261,-0.8973
-0.31623,-0.31623,-0.32305,-0.43332
0.31623,-0.94868,0.33252,-1.0208
0.31623,-0.94868,0.31285,-0.91184
-0.94868,0.31623,-0.88573,0.36262
0.94868,-0.31623,0.92972,-0.30724
-0.94868,0.31623,-0.87987,0.3226
0.31623,0.31623,0.30125,0.44022
-0.31623,-0.31623,-0.33343,-0.15878
-0.31623,0.94868,-0.25498,0.887
0.31623,0.31623,0.37196,0.24875
0.94868,-0.94868,0.94834,-1.0658
-0.31623,-0.94868,-0.33492,-0.91886
-0.31623,-0.94868,-0.32422,-0.9297
-0.94868,-0.31623,-0.9983,-0.32146
-0.94868,-0.94868,-0.96083,-0.95598
0.31623,0.31623,0.34106,0.30847
-0.31623,0.31623,-0.20963,0.36156
-0.31623,0.31623,-0.28187,0.40334
-0.94868,0.94868,-0.76509,0.987
0.94868,-0.31623,1.023,-0.30369
0.94868,0.94868,0.9805,0.91693
-0.31623,0.94868,-0.31831,0.84194
0.94868,-0.94868,0.92149,-0.92558
-0.31623,0.31623,-0.36899,0.27402
-0.94868,0.31623,-0.94122,0.21731
0.31623,0.94868,0.16677,0.95217
-0.31623,-0.94868,-0.36643,-0.89414
-0.94868,0.94868,-0.97632,0.8806
0.31623,-0.94868,0.4045,-0.93997
-0.31623,-0.31623,-0.38387,-0.25982
-0.94868,-0.31623,-0.9115,-0.29838
-0.94868,-0.94868,-0.954,-1.0813
-0.31623,0.31623,-0.48289,0.23344
0.31623,-0.31623,0.4086,-0.25713
0.31623,-0.94868,0.36057,-0.97501
0.31623,-0.94868,0.37612,-0.98684
-0.31623,0.31623,-0.26303,0.32129
-0.94868,0.31623,-0.90336,0.10994
-0.94868,-0.94868,-0.90956,-1.0016
-0.31623,-0.31623,-0.37809,-0.26787
-0.94868,0.94868,-1.0752,1.0542
-0.31623,0.31623,-0.25906,0.35095
0.31623,-0.94868,0.36008,-0.89137
-0.31623,0.94868,-0.40179,0.91924
-0.94868,0.31623,-1.0336,0.38854
-0.94868,-0.94868,-0.91067,-1.0113
0.31623,-0.31623,0.34183,-0.29136
-0.94868,-0.31623,-0.94939,-0.39931
0.94868,-0.94868,0.88244,-1.0406
0.94868,0.94868,0.84933,0.96215
-0.31623,0.94868,-0.41328,0.94912
-0.31623,-0.31623,-0.32149,-0.28943
0.94868,-0.94868,0.97589,-0.94908
0.31623,0.94868,0.34892,0.93172
0.31623,-0.31623,0.40922,-0.41922
-0.31623,0.94868,-0.28195,1.0109
0.94868,0.94868,0.84254,0.91137
0.31623,0.31623,0.26462,0.33703
-0.94868,-0.94868,-0.85813,-1.0242
-0.94868,-0.94868,-0.90136,-1.009
0.94868,0.31623,0.89399,0.38812
-0.31623,0.94868,-0.28764,1.0324
0.94868,0.31623,0.98136,0.36778
0.94868,0.94868,1.1141,0.92169
0.31623,0.31623,0.27801,0.28585
0.31623,0.31623,0.42915,0.19474
-0.94868,-0.31623,-0.99872,-0.29699
0.31623,-0.31623,0.26401,-0.27862
0.31623,0.31623,0.26023,0.30408
-0.94868,0.31623,-0.89824,0.31906
0.31623,-0.31623,0.30555,-0.45754
0.31623,-0.94868,0.33856,-1.01
-0.31623,-0.31623,-0.38328,-0.31672
-0.31623,0.94868,-0.41346,0.97643
0.94868,-0.94868,1.1272,-0.99242
0.31623,-0.31623,0.20371,-0.33983
-0.31623,0.94868,-0.23588,0.84883
-0.94868,-0.94868,-1.0765,-0.94817
0.94868,-0.31623,1.0662,-0.37375
-0.31623,-0.94868,-0.36731,-0.82985
0.31623,-0.94868,0.25394,-0.93707
-0.31623,0.94868,-0.29893,0.99552
0.31623,0.31623,0.43324,0.34651
-0.94868,0.94868,-0.74313,0.98793
0.31623,0.94868,0.3539,0.90731
0.31623,0.94868,0.34895,0.916
-0.31623,0.94868,-0.47094,0.93068
0.31623,0.31623,0.18127,0.32409
-0.94868,-0.31623,-0.94503,-0.20925
0.94868,-0.31623,1.0216,-0.33275
0.94868,-0.31623,0.85338,-0.36057
-0.31623,0.31623,-0.23665,0.40198
0.94868,-0.94868,0.89507,-0.84147
0.94868,-0.94868,0.95603,-0.968
-0.94868,-0.31623,-0.87245,-0.24167
0.31623,0.31623,0.3753,0.23162
-0.31623,-0.31623,-0.37928,-0.34227
0.94868,0.94868,0.91183,0.9634
0.31623,0.31623,0.23496,0.35027
0.31623,-0.94868,0.24697,-1.0254
-0.31623,-0.31623,-0.26855,-0.36494
-0.94868,-0.94868,-0.95748,-1.0285
0.94868,-0.31623,0.96638,-0.29976
0.94868,0.94868,0.98703,0.9878
0.94868,-0.94868,0.97127,-1.0143
-0.94868,0.31623,-0.97133,0.29668
-0.94868,0.94868,-0.97893,0.97898
0.31623,0.94868,0.21038,1.0418
0.31623,0.94868,0.25767,0.95359
0.94868,-0.94868,0.96492,-0.91674
0.31623,0.94868,0.4658,0.9196
-0.31623,-0.31623,-0.37412,-0.42603
-0.94868,-0.94868,-0.88841,-0.82648
-0.94868,0.31623,-0.97368,0.39202
-0.31623,-0.94868,-0.25104,-1.0112
-0.94868,0.31623,-0.96994,0.37111
-0.31623,-0.31623,-0.48155,-0.35529
0.94868,-0.94868,1.0132,-1.1439
-0.31623,-0.94868,-0.37167,-0.92236
-0.94868,-0.94868,-0.95655,-0.92348
-0.94868,0.31623,-0.97207,0.36061
0.94868,-0.94868,1.0012,-0.87278
-0.94868,0.94868,-1.0042,0.90286
0.94868,-0.31623,0.91613,-0.21833
0.31623,-0.31623,0.24158,-0.31869
0.94868,-0.31623,0.9793,-0.42543
0.31623,0.94868,0.17209,1.0639
0.31623,0.31623,0.43556,0.33229
-0.94868,0.31623,-0.84392,0.2157
-0.31623,-0.94868,-0.19224,-0.95564
-0.31623,-0.31623,-0.34039,-0.38645
0.94868,0.31623,0.92881,0.41308
-0.94868,0.31623,-0.97636,0.28487
-0.94868,0.94868,-1.0043,1.0451
0.31623,-0.31623,0.31196,-0.35094
-0.31623,0.31623,-0.26509,0.48196
0.94868,-0.31623,0.82197,-0.25243
-0.94868,0.94868,-1.0463,0.97791
0.31623,0.31623,0.36419,0.24524
0.94868,-0.94868,1.0696,-0.98357
-0.31623,0.31623,-0.31868,0.43281
-0.31623,0.94868,-0.20979,1.0374
-0.94868,0.31623,-0.88851,0.40343
-0.31623,-0.94868,-0.35309,-0.94016
-0.31623,-0.94868,-0.29979,-0.82186
-0.94868,-0.31623,-0.91771,-0.38203
-0.31623,-0.31623,-0.22918,-0.31318
-0.31623,-0.94868,-0.30813,-0.97354
-0.31623,0.94868,-0.29452,0.91388
-0.31623,0.94868,-0.38995,0.95342
-0.31623,-0.94868,-0.14733,-1.0656
0.94868,0.94868,0.88847,0.74288
-0.94868,0.94868,-1.0271,0.97318
0.31623,-0.31623,0.35608,-0.39012
0.31623,0.31623,0.25514,0.40033
0.31623,0.31623,0.3284,0.3902
-0.31623,0.31623,-0.16425,0.28732
-0.94868,-0.94868,-0.90375,-0.9851
0.94868,0.31623,1.0633,0.2606
-0.94868,-0.31623,-0.99318,-0.31845
-0.94868,-0.31623,-0.99725,-0.30088
-0.31623,-0.94868,-0.35833,-0.89149
-0.31623,0.31623,-0.21507,0.34658
-0.31623,0.31623,-0.35514,0.40785
0.31623,-0.94868,0.22227,-1.0401
-0.31623,0.31623,-0.32409,0.28124
-0.94868,-0.31623,-0.8161,-0.2524
-0.31623,0.31623,-0.3247,0.37949
0.31623,-0.31623,0.20526,-0.36693
-0.94868,-0.31623,-1.016,-0.20443
0.31623,-0.31623,0.36127,-0.29457
0.94868,-0.31623,1.0046,-0.23858
-0.31623,-0.31623,-0.3002,-0.321
0.94868,-0.94868,0.99555,-0.97527
-0.94868,-0.31623,-0.89916,-0.323
-0.31623,0.31623,-0.40557,0.27257
-0.31623,0.31623,-0.33851,0.37064
0.94868,0.94868,0.92412,0.85487
-0.31623,-0.94868,-0.27914,-1.0126
-0.31623,-0.94868,-0.43451,-1.0412
0.94868,-0.94868,1.0015,-0.9648
0.94868,-0.31623,0.882,-0.20904
-0.94868,-0.31623,-0.93192,-0.43287
0.94868,0.31623,1.1092,0.34228
-0.94868,0.94868,-1.007,0.92519
-0.94868,-0.94868,-0.92159,-0.89705
0.31623,0.94868,0.42133,0.99127
-0.31623,-0.94868,-0.32485,-0.92149
0.31623,-0.31623,0.26377,-0.25917
-0.31623,0.31623,-0.32003,0.39237
-0.31623,-0.31623,-0.24791,-0.42701
0.94868,-0.31623,0.9138,-0.36177
0.31623,0.31623,0.41732,0.43999
-0.94868,0.31623,-0.86711,0.31545
0.31623,-0.94868,0.363,-0.96593
-0.31623,0.94868,-0.34839,0.84605
0.94868,0.31623,0.86049,0.36386
0.31623,-0.31623,0.34656,-0.31624
-0.31623,-0.94868,-0.2515,-0.93117
-0.31623,-0.31623,-0.23941,-0.25778
0.94868,-0.31623,0.8938,-0.20543
-0.31623,0.31623,-0.26244,0.08878
0.31623,0.94868,0.40429,0.99859
0.31623,0.31623,0.31955,0.44688
-0.94868,-0.31623,-0.95353,-0.33753
-0.31623,0.94868,-0.28865,0.87681
-0.94868,0.31623,-0.84744,0.25629
0.31623,0.31623,0.22095,0.28958
-0.31623,0.31623,-0.40812,0.25614
0.94868,0.31623,0.945,0.33978
-0.94868,-0.94868,-0.85865,-1.0106
-0.94868,-0.94868,-0.99088,-0.90834
-0.94868,-0.31623,-1.0735,-0.22772
-0.31623,0.94868,-0.29537,0.88991
0.94868,0.31623,1.0327,0.23524
0.94868,0.94868,0.91596,1.0499
-0.94868,-0.94868,-0.91408,-0.87807
-0.94868,0.31623,-0.91343,0.37262
0.94868,0.31623,0.84823,0.40191
-0.31623,0.94868,-0.31158,1.0201
-0.31623,0.31623,-0.29578,0.30287
-0.31623,0.31623,-0.28516,0.38954
0.94868,0.94868,1.0518,0.92394
-0.94868,0.94868,-1.0122,0.86617
0.94868,0.31623,0.94006,0.24325
0.31623,-0.94868,0.32425,-0.99408
0.94868,-0.94868,0.79094,-0.89918
0.94868,0.31623,0.90799,0.29529
0.31623,0.31623,0.30424,0.24491
-0.31623,-0.94868,-0.47814,-0.96515
-0.31623,0.94868,-0.28784,0.99553
0.94868,0.31623,1.0259,0.32023
-0.31623,-0.94868,-0.22678,-0.91688
0.31623,-0.31623,0.36547,-0.25181
0.31623,-0.94868,0.33868,-1.0363
0.31623,0.31623,0.28638,0.18526
0.94868,-0.94868,0.79665,-0.95676
-0.31623,-0.94868,-0.31129,-0.9285
-0.31623,-0.94868,-0.3243,-0.86813
-0.31623,-0.94868,-0.28904,-1.0612
-0.31623,-0.31623,-0.32749,-0.28973
-0.31623,-0.31623,-0.38739,-0.275
0.94868,-0.94868,0.88725,-0.95328
0.94868,-0.94868,0.98433,-0.88552
-0.31623,0.31623,-0.33638,0.3154
0.31623,0.31623,0.29428,0.27387
0.94868,0.31623,0.98232,0.23579
0.31623,-0.94868,0.23494,-0.91961
-0.94868,-0.31623,-0.94096,-0.30283
-0.94868,0.31623,-0.97091,0.37747
-0.31623,-0.94868,-0.27026,-0.8806
0.94868,0.31623,0.81764,0.19301
0.94868,0.94868,0.96261,0.9267
0.31623,-0.31623,0.44857,-0.31085
0.94868,-0.94868,0.94392,-0.98607
-0.31623,-0.31623,-0.32334,-0.21349
-0.94868,-0.31623,-1.006,-0.5226
-0.31623,0.31623,-0.38768,0.36999
0.94868,-0.31623,0.97028,-0.30602
0.31623,-0.94868,0.2848,-1.0873
-0.94868,0.31623,-0.97462,0.24902
0.94868,-0.94868,0.99064,-1.0015
0.31623,-0.31623,0.25395,-0.40725
0.31623,-0.94868,0.42637,-0.92623
-0.31623,-0.94868,-0.27365,-0.85929
0.31623,0.31623,0.36124,0.28652
-0.31623,0.31623,-0.4214,0.41138
-0.94868,0.94868,-1.0585,1.0347
-0.31623,0.94868,-0.2496,0.88905
-0.31623,0.31623,-0.21944,0.32868
